Indikator,Ausprägung,Jahr,Raumbezug,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Arbeitslose,bis 24 Jahre,2022,13 Bogenhausen,"6,6",112.8,1698.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,14 Berg am Laim,"6,4",90,1400.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,15 Trudering - Riem,"7,3",125,1705.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,16 Ramersdorf - Perlach,"6,4",217.5,3422.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,17 Obergiesing - Fasangarten,"6,9",82.5,1190.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,18 Untergiesing - Harlaching,"5,8",70.5,1209.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"6,7",146.3,2174.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,20 Hadern,"7,2",75.3,1043.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,21 Pasing - Obermenzing,"5,6",96,1718.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,22 Aubing - Lochhausen - Langwied,"6,6",82.8,1261.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,23 Allach - Untermenzing,"7,3",55,752.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,24 Feldmoching - Hasenbergl,"7,6",124.8,1640.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2022,25 Laim,"6,1",89.3,1454.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,Stadt München,"6,7",2768.5,41475,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,01 Altstadt - Lehel,"5,2",19.8,379.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,02 Ludwigsvorstadt - Isarvorstadt,"5,1",74.5,1451.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,03 Maxvorstadt,"3,5",38,1076.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,04 Schwabing - West,"4,8",62.5,1294.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,05 Au - Haidhausen,4,57.5,1430.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,06 Sendling,"5,7",67.8,1180.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,07 Sendling - Westpark,"6,8",114.8,1694.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,08 Schwanthalerhöhe,"5,9",54.8,924.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,09 Neuhausen - Nymphenburg,"5,3",121.5,2289.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,10 Moosach,"7,6",130.3,1708.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,11 Milbertshofen - Am Hart,"7,8",196,2508.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,12 Schwabing - Freimann,"6,4",125.8,1952.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,13 Bogenhausen,"6,6",122.3,1857.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,14 Berg am Laim,"7,2",114.8,1598.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,15 Trudering - Riem,"7,9",150.5,1898,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,16 Ramersdorf - Perlach,"7,3",285,3904,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,17 Obergiesing - Fasangarten,"6,5",92.5,1428.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,18 Untergiesing - Harlaching,"6,1",79.3,1297.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,7,170.3,2433.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,20 Hadern,"8,6",94.8,1101.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,21 Pasing - Obermenzing,"5,8",116,1984.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,22 Aubing - Lochhausen - Langwied,8,115.3,1445.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,23 Allach - Untermenzing,"7,8",59,756,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,24 Feldmoching - Hasenbergl,"9,2",170,1853.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2021,25 Laim,"6,2",100.3,1620,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,Stadt München,"7,1",3018.3,42680.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,01 Altstadt - Lehel,"5,5",23.5,424,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,02 Ludwigsvorstadt - Isarvorstadt,"5,3",82.8,1566.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,03 Maxvorstadt,"4,2",50.5,1207.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,04 Schwabing - West,"4,7",66.5,1426.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,05 Au - Haidhausen,"4,5",71.3,1574.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,06 Sendling,"6,1",81,1330.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,07 Sendling - Westpark,"7,5",130.8,1743.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,08 Schwanthalerhöhe,6,55,923.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,09 Neuhausen - Nymphenburg,6,142.5,2385,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,10 Moosach,"8,3",142.5,1712,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,11 Milbertshofen - Am Hart,"7,8",191,2461,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,12 Schwabing - Freimann,"6,7",137.5,2042.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,13 Bogenhausen,7,134,1906,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,14 Berg am Laim,"8,4",133.3,1591.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,15 Trudering - Riem,"8,3",156.8,1890.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,16 Ramersdorf - Perlach,"7,9",318.5,4029.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,17 Obergiesing - Fasangarten,"6,9",109,1574.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,18 Untergiesing - Harlaching,"6,2",84.3,1367.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"6,8",167.3,2443.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,20 Hadern,8,87,1092.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,21 Pasing - Obermenzing,"6,7",129,1929.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,22 Aubing - Lochhausen - Langwied,"9,8",136.5,1393.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,23 Allach - Untermenzing,"8,8",63.5,723,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,24 Feldmoching - Hasenbergl,"10,3",190.5,1858.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2020,25 Laim,6,100,1677,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,Stadt München,"5,7",1725.5,30167,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,01 Altstadt - Lehel,"3,9",13,331,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,02 Ludwigsvorstadt - Isarvorstadt,"4,8",50.8,1048.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,03 Maxvorstadt,"2,6",21.7,838,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,04 Schwabing - West,"3,4",36,1052.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,05 Au - Haidhausen,3,30.8,1037.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,06 Sendling,"4,2",40.5,959.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,07 Sendling - Westpark,"5,1",62.5,1232,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,08 Schwanthalerhöhe,"3,4",23,672.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,09 Neuhausen - Nymphenburg,"4,7",76.5,1628.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,10 Moosach,"6,5",82.5,1271.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,11 Milbertshofen - Am Hart,"6,9",119.8,1736.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,12 Schwabing - Freimann,"5,4",80.8,1501.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,13 Bogenhausen,"4,8",59.3,1241.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,14 Berg am Laim,"6,4",79.3,1230,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,15 Trudering - Riem,"7,4",105,1418.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,16 Ramersdorf - Perlach,"6,9",198.8,2862.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,17 Obergiesing - Fasangarten,"5,1",57.8,1124.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,18 Untergiesing - Harlaching,"3,5",34,982.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"5,6",92.5,1663,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,20 Hadern,"7,1",58,819.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,21 Pasing - Obermenzing,"5,4",72.5,1333.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,22 Aubing - Lochhausen - Langwied,"7,7",73,947.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,23 Allach - Untermenzing,"7,7",35.8,466.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,24 Feldmoching - Hasenbergl,"7,4",99.5,1342.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2019,25 Laim,"5,2",59.3,1139.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,Stadt München,"5,9",1873.8,31851.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,01 Altstadt - Lehel,88,,,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,02 Ludwigsvorstadt - Isarvorstadt,"2,1",23.5,1140.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,03 Maxvorstadt,88,,,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,04 Schwabing - West,"3,5",39.3,1112.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,05 Au - Haidhausen,"1,5",16.3,1094.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,06 Sendling,"3,8",40.5,1068.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,07 Sendling - Westpark,"5,1",68,1344.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,08 Schwanthalerhöhe,"4,1",28.3,693.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,09 Neuhausen - Nymphenburg,"4,1",69.3,1707.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,10 Moosach,"6,9",92.3,1335.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,11 Milbertshofen - Am Hart,"6,9",133.8,1951.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,12 Schwabing - Freimann,"5,9",88.8,1494.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,13 Bogenhausen,"2,4",32,1319.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,14 Berg am Laim,"6,5",81.3,1253.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,15 Trudering - Riem,"8,1",123,1521.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,16 Ramersdorf - Perlach,"7,6",225.8,2977.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,17 Obergiesing - Fasangarten,"3,9",46,1183.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,18 Untergiesing - Harlaching,"2,6",27.3,1038.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"4,7",83.3,1758,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,20 Hadern,"5,3",45.8,861.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,21 Pasing - Obermenzing,6,81.3,1352.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,22 Aubing - Lochhausen - Langwied,"8,1",77.3,950,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,23 Allach - Untermenzing,"9,4",49,523,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,24 Feldmoching - Hasenbergl,"6,5",97.3,1485.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2018,25 Laim,"5,4",67.3,1238.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,Stadt München,"5,8",2024.8,35020.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,01 Altstadt - Lehel,"3,8",11.5,302.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,02 Ludwigsvorstadt - Isarvorstadt,"4,2",51.3,1230.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,03 Maxvorstadt,"3,7",33.8,924.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,04 Schwabing - West,"3,8",44.3,1176.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,05 Au - Haidhausen,4,49.3,1229.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,06 Sendling,"3,4",39.5,1154.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,07 Sendling - Westpark,"4,3",63.8,1483.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,08 Schwanthalerhöhe,"4,5",35,776,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,09 Neuhausen - Nymphenburg,"4,2",80.3,1919.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,10 Moosach,"6,1",90.5,1483,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,11 Milbertshofen - Am Hart,"6,5",148,2289,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,12 Schwabing - Freimann,"7,7",120.5,1574.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,13 Bogenhausen,5,71.3,1431.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,14 Berg am Laim,"6,9",94.3,1369.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,15 Trudering - Riem,"7,6",119.8,1575,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,16 Ramersdorf - Perlach,"7,6",247.5,3251,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,17 Obergiesing - Fasangarten,"4,9",66.3,1362.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,18 Untergiesing - Harlaching,"4,2",50.8,1199.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"5,6",109.5,1962.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,20 Hadern,"5,4",50,933.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,21 Pasing - Obermenzing,"5,9",91,1529.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,22 Aubing - Lochhausen - Langwied,"7,4",73.5,986.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,23 Allach - Untermenzing,"8,1",44.5,548,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,24 Feldmoching - Hasenbergl,"8,2",137.5,1684.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2017,25 Laim,"5,1",70,1364.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,Stadt München,"6,2",2309,37262.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,01 Altstadt - Lehel,"2,9",9.5,329.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,02 Ludwigsvorstadt - Isarvorstadt,"4,6",60.5,1303.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,03 Maxvorstadt,"4,2",44.3,1060,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,04 Schwabing - West,"4,3",53.5,1248.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,05 Au - Haidhausen,4,54.8,1370,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,06 Sendling,4,48,1206.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,07 Sendling - Westpark,"5,1",81,1599.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,08 Schwanthalerhöhe,"4,7",41.3,875.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,09 Neuhausen - Nymphenburg,"5,3",103.8,1969.8,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,10 Moosach,"6,9",116.3,1680.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,11 Milbertshofen - Am Hart,"6,6",165.8,2503.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,12 Schwabing - Freimann,"7,3",120.3,1639,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,13 Bogenhausen,"5,5",85,1540.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,14 Berg am Laim,"7,4",105.8,1437.5,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,15 Trudering - Riem,"8,5",134.8,1580,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
Arbeitslose,bis 24 Jahre,2016,16 Ramersdorf - Perlach,"7,7",257,3327.3,Arbeitslose (bis 24 Jahre),Arbeitslose (insgesamt)
